indicador,fuente,nombre,unidad,anio,region,region_nombre,est,li,ls,cobertura
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2024,12,Magallanes,605622,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2024,13,Metropolitana,518000,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2024,14,Los Ríos,394958,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2024,15,Arica y Parinacota,401688,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2024,16,Ñuble,364500,,,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,0,Nacional,14.38,13.79,14.97,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,1,Tarapacá,8.23,6.61,9.85,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,2,Antofagasta,3.97,2.62,5.32,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,3,Atacama,7.26,4.74,9.78,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,4,Coquimbo,16.23,13.8,18.66,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,5,Valparaíso,15.59,13.65,17.53,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,6,O'Higgins,16.01,14.03,18,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,7,Maule,22.31,20.08,24.55,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,8,Biobío,22.33,20.39,24.26,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,9,La Araucanía,27.9,25.71,30.1,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,10,Los Lagos,17.62,15.51,19.74,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,11,Aysén,6.77,5.14,8.4,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,12,Magallanes,5.58,2.35,8.81,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,13,Metropolitana,9.17,8.18,10.16,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,14,Los Ríos,23.14,20.68,25.59,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2013,15,Arica y Parinacota,14.58,12.58,16.58,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,0,Nacional,11.67,11.24,12.1,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,1,Tarapacá,7.15,5.53,8.76,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,2,Antofagasta,5.41,3.56,7.26,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,3,Atacama,6.87,5.72,8.01,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,4,Coquimbo,13.8,12.37,15.23,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,5,Valparaíso,12.02,10.85,13.18,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,6,O'Higgins,13.74,12.04,15.44,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,7,Maule,18.68,17.02,20.35,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,8,Biobío,17.55,16.31,18.79,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,9,La Araucanía,23.58,21.75,25.4,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,10,Los Lagos,16.06,14.41,17.71,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,11,Aysén,6.47,4.02,8.92,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,12,Magallanes,4.41,2.9,5.93,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,13,Metropolitana,7.11,6.33,7.89,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,14,Los Ríos,16.75,14.1,19.4,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2015,15,Arica y Parinacota,9.72,7.15,12.29,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,0,Nacional,8.59,8.23,8.96,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,1,Tarapacá,6.4,5.3,7.5,regional
