anio,indicador,etiqueta,nivel,est,se,li,ls,n
2010,rddv,Robo desde vehículo (hogares con vehículo),hogar,13.4774011472867,0.544917738310808,12.4093820056605,14.5454202889129,10616
2010,pad,Percepción: aumentó la delincuencia en el país,persona,60.235286463223,0.748536635111827,58.768181617295,61.7023913091509,25933
2010,rvi,Robo con violencia o intimidación,persona,5.88709350361975,0.279857725051477,5.33858244172355,6.43560456551596,25933
2010,rps,Robo por sorpresa,persona,5.48704789871787,0.27374589413592,4.95051580529575,6.02357999213998,25933
2010,hur,Hurto,persona,9.19731092761431,0.358084985645719,8.49547725234416,9.89914460288446,25933
2010,les,Lesiones,persona,2.0791614936571,0.184602089061191,1.71734804762631,2.44097493968789,25933
2011,vh_dmcs,Hogar víctima de delito (DMCS),hogar,28.841200313438,0.492940908622975,27.8750538860305,29.8073467408455,25933
2011,rfv,Robo con fuerza en la vivienda,hogar,5.28454333441033,0.236607390523439,4.82080137050838,5.74828529831227,25933
2011,rdv,Robo de vehículo (hogares con vehículo),hogar,2.55276516574046,0.241261590129544,2.07990113823369,3.02562919324723,10621
2011,rddv,Robo desde vehículo (hogares con vehículo),hogar,16.2701982959166,0.549155690877505,15.1938729198915,17.3465236719417,10621
2011,pad,Percepción: aumentó la delincuencia en el país,persona,82.5758652594828,0.429146170781083,81.7347542206486,83.416976298317,25933
2011,rvi,Robo con violencia o intimidación,persona,6.15259740192666,0.282088181061013,5.59971472658266,6.70548007727066,25933
2011,rps,Robo por sorpresa,persona,6.88177108357101,0.289352035213244,6.31465151569969,7.44889065144234,25933
2011,hur,Hurto,persona,9.55811656373685,0.339004975031456,8.8936790220953,10.2225541053784,25933
2011,les,Lesiones,persona,2.77117166615192,0.189953422395316,2.39886979951697,3.14347353278686,25933
2012,vh_dmcs,Hogar víctima de delito (DMCS),hogar,24.3328385973094,0.515672773513055,23.3221385334159,25.3435386612029,25933
2012,rfv,Robo con fuerza en la vivienda,hogar,4.32042151869243,0.227307920190675,3.874906181718,4.76593685566686,25933
2012,rdv,Robo de vehículo (hogares con vehículo),hogar,2.03644809381249,0.216733535095023,1.61165817078419,2.46123801684078,11013
2012,rddv,Robo desde vehículo (hogares con vehículo),hogar,12.3266770497772,0.516986227437721,11.3134026634961,13.3399514360584,11013
2012,pad,Percepción: aumentó la delincuencia en el país,persona,70.6256917227662,0.576140693765805,69.4964767129574,71.7549067325751,25933
2012,rvi,Robo con violencia o intimidación,persona,4.89226896642602,0.277142880768927,4.34907890154725,5.4354590313048,25933
2012,rps,Robo por sorpresa,persona,5.00159313662787,0.280780372113909,4.45127371971886,5.55191255353689,25933
2012,hur,Hurto,persona,8.5843799965334,0.36178555128601,7.87529334588585,9.29346664718095,25933
2012,les,Lesiones,persona,1.94279573036599,0.233697684637121,1.48475668520683,2.40083477552514,25933
2013,vh_dmcs,Hogar víctima de delito (DMCS),hogar,22.8067372538811,0.521025514630631,21.7855460101786,23.8279284975835,25933
2013,rfv,Robo con fuerza en la vivienda,hogar,4.18748582767498,0.248307560533262,3.70081195194079,4.67415970340917,25933
2013,rdv,Robo de vehículo (hogares con vehículo),hogar,1.5990103494477,0.19190234398506,1.22288866668817,1.97513203220723,11814
2013,rddv,Robo desde vehículo (hogares con vehículo),hogar,11.0569739053275,0.481066211787392,10.1141014560451,11.9998463546099,11814
2013,pad,Percepción: aumentó la delincuencia en el país,persona,71.1775829893338,0.619612565099369,69.9631646773706,72.3920013012971,25933
2013,rvi,Robo con violencia o intimidación,persona,4.60685290139601,0.267857488623762,4.08186187070409,5.13184393208793,25933
2013,rps,Robo por sorpresa,persona,4.05220419171436,0.234317321369799,3.59295068087566,4.51145770255307,25933
2013,hur,Hurto,persona,8.64001122264284,0.368742125301444,7.91728993746925,9.36273250781642,25933
2013,les,Lesiones,persona,1.59255319252304,0.140588230174491,1.31700532473081,1.86810106031527,25933
2014,vh_dmcs,Hogar víctima de delito (DMCS),hogar,23.4772291611389,0.681505677679779,22.141502577627,24.8129557446509,10015
2014,rfv,Robo con fuerza en la vivienda,hogar,3.66907900248896,0.284562343556883,3.11134705776116,4.22681094721677,10015
2014,rdv,Robo de vehículo (hogares con vehículo),hogar,1.43911158102581,0.197571381071672,1.05187878974949,1.82634437230212,4733
2014,rddv,Robo desde vehículo (hogares con vehículo),hogar,11.844372537935,0.677485184597464,10.5165259760645,13.1722190998055,4733
2014,pad,Percepción: aumentó la delincuencia en el país,persona,79.9364561565909,0.581445488046209,78.796843941047,81.0760683721348,10015
2014,rvi,Robo con violencia o intimidación,persona,4.50452143197324,0.297668932663129,3.92110104463703,5.08794181930945,10015
2014,rps,Robo por sorpresa,persona,4.82475949559464,0.353680907625831,4.13155765462857,5.5179613365607,10015
2014,hur,Hurto,persona,9.77989991478461,0.478527445867307,8.84200335527075,10.7177964742985,10015
2014,les,Lesiones,persona,1.59215648822636,0.196084846140758,1.2078372518764,1.97647572457633,10015
2015,vh_dmcs,Hogar víctima de delito (DMCS),hogar,26.3725808855846,0.565660821893689,25.2639060472076,27.4812557239615,25660
2015,rfv,Robo con fuerza en la vivienda,hogar,4.91203395035495,0.286043258888059,4.35139946491389,5.47266843579601,25660
2015,rdv,Robo de vehículo (hogares con vehículo),hogar,1.85916432378642,0.200983070855616,1.46524474340715,2.25308390416569,12141
2015,rddv,Robo desde vehículo (hogares con vehículo),hogar,12.9137890106884,0.53167735946436,11.8717205347429,13.9558574866339,12141
2015,pad,Percepción: aumentó la delincuencia en el país,persona,86.7843426480802,0.455579530502838,85.891423176201,87.6772621199594,25660
2015,rvi,Robo con violencia o intimidación,persona,5.39666476675719,0.265003518365509,4.87726741498439,5.91606211852998,25660
2015,rps,Robo por sorpresa,persona,5.26016486715935,0.304592854366347,4.66317384265305,5.85715589166564,25660
2015,hur,Hurto,persona,9.7080373307883,0.38663947658,8.95023788169008,10.4658367798865,25660
2015,les,Lesiones,persona,2.04373544047028,0.261057915411763,1.53207132838412,2.55539955255644,25660
2016,vh_dmcs,Hogar víctima de delito (DMCS),hogar,27.2887510247705,0.472236090000269,26.3631852961699,28.214316753371,25227
2016,rfv,Robo con fuerza en la vivienda,hogar,5.12829055056591,0.199451801003763,4.73737220394688,5.51920889718493,25227
2016,rdv,Robo de vehículo (hogares con vehículo),hogar,1.61013219575305,0.154600921915408,1.30711995682216,1.91314443468393,12703
2016,rddv,Robo desde vehículo (hogares con vehículo),hogar,13.8478241511171,0.615295529276985,12.6418670738857,15.0537812283485,12703
2016,pad,Percepción: aumentó la delincuencia en el país,persona,84.953215260201,0.379500754696822,84.2094074488894,85.6970230715125,25227
2016,rvi,Robo con violencia o intimidación,persona,5.95867320713672,0.243045369438072,5.48231303642887,6.43503337784458,25227
