anio,metodologia,nivel,region,region_nombre,indicador,est,se,li,ls,n
2024,comparable_2013,regional,2,Antofagasta,pobreza,4.99513077351141,0.513171285103035,3.98933353680932,6.00092801021349,10597
2024,comparable_2013,regional,3,Atacama,pobreza,5.57595628415301,0.595130255771638,4.40952241673048,6.74239015157553,9298
2024,comparable_2013,regional,4,Coquimbo,pobreza,6.69892818960987,0.583160986248282,5.55595365937438,7.84190271984536,10280
2024,comparable_2013,regional,5,Valparaíso,pobreza,4.72443348700988,0.320159223950171,4.09693293874925,5.35193403527051,22946
2024,comparable_2013,regional,6,O'Higgins,pobreza,5.08466006654571,0.405757914624149,4.2893891674403,5.87993096565112,14588
2024,comparable_2013,regional,7,Maule,pobreza,7.70687152292635,0.471469026157354,6.78280921183176,8.63093383402094,14651
2024,comparable_2013,regional,8,Biobío,pobreza,5.45592993351269,0.323117943678064,4.82263040114504,6.08922946588033,22444
2024,comparable_2013,regional,9,La Araucanía,pobreza,10.0884207020995,0.585581671296304,8.94070171635196,11.236139687847,14449
2024,comparable_2013,regional,10,Los Lagos,pobreza,4.23696434455797,0.424483288541546,3.40499238697742,5.06893630213853,11338
2024,comparable_2013,regional,11,Aysén,pobreza,2.98539083657265,0.526357757918887,1.95374858806838,4.01703308507692,4258
2024,comparable_2013,regional,12,Magallanes,pobreza,2.49025327844271,0.451672088233634,1.60499225268279,3.37551430420263,5991
2024,comparable_2013,regional,13,Metropolitana,pobreza,3.25993890683441,0.18966886112007,2.88819477005034,3.63168304361847,40613
2024,comparable_2013,regional,14,Los Ríos,pobreza,5.54555005252889,0.524479619615197,4.51758888745784,6.57351121759995,9164
2024,comparable_2013,regional,15,Arica y Parinacota,pobreza,7.69848032678515,0.918720145378879,5.89782192997114,9.49913872359915,8525
2024,comparable_2013,regional,16,Ñuble,pobreza,7.97291063303594,0.590170338474294,6.81619802488251,9.12962324118936,9390
2024,nueva_2024,nacional,,Nacional,pobreza,17.2887668474524,0.200868474731554,16.8950718713491,17.6824618235557,218260
2024,nueva_2024,nacional,,Nacional,pobreza_extrema,6.86518369952226,0.124322484665774,6.62151610710881,7.10885129193571,218260
2024,nueva_2024,regional,1,Tarapacá,pobreza,20.8097868440271,1.261648008001,18.3370021871784,23.2825715008757,9728
2024,nueva_2024,regional,2,Antofagasta,pobreza,16.3877295492487,0.834107353786557,14.7529091765871,18.0225499219104,10597
2024,nueva_2024,regional,3,Atacama,pobreza,18.5773614363778,0.852069976430267,16.9073349702666,20.247387902489,9298
2024,nueva_2024,regional,4,Coquimbo,pobreza,20.6740264917462,0.879487778639035,18.9502621207706,22.3977908627219,10280
2024,nueva_2024,regional,5,Valparaíso,pobreza,17.7890076710249,0.617281062884996,16.5791590194317,18.9988563226181,22946
2024,nueva_2024,regional,6,O'Higgins,pobreza,17.855038474777,0.700646580938674,16.4817964102461,19.2282805393079,14588
2024,nueva_2024,regional,7,Maule,pobreza,24.3408344806577,0.761866387008654,22.8476038010891,25.8340651602263,14651
2024,nueva_2024,regional,8,Biobío,pobreza,19.2736172179622,0.566253933128707,18.1637799029258,20.3834545329987,22444
2024,nueva_2024,regional,9,La Araucanía,pobreza,28.5905542605342,0.809534659989514,27.0038954827179,30.1772130383505,14449
2024,nueva_2024,regional,10,Los Lagos,pobreza,16.4769984136837,0.723548492395817,15.0588694275196,17.8951273998478,11338
2024,nueva_2024,regional,11,Aysén,pobreza,14.3337447725724,1.12397620999403,12.1307918815042,16.5366976636405,4258
2024,nueva_2024,regional,12,Magallanes,pobreza,9.94029281060007,0.769381241738046,8.4323332864128,11.4482523347873,5991
2024,nueva_2024,regional,13,Metropolitana,pobreza,13.3408093688048,0.364628453373554,12.6261507324541,14.0554680051555,40613
2024,nueva_2024,regional,14,Los Ríos,pobreza,22.270071119761,0.936834279729273,20.4339096720091,24.1062325675129,9164
2024,nueva_2024,regional,15,Arica y Parinacota,pobreza,21.4332386960692,1.19420512201558,19.0926396667654,23.773837725373,8525
2024,nueva_2024,regional,16,Ñuble,pobreza,23.8984416722975,0.860401320662431,22.2120860715485,25.5847972730466,9390
