region16,anio,indicador,etiqueta,est,se,li,ls,region_nombre
8,2020,vh_dmcs,Hogar víctima de delito (DMCS),15.7119463775732,1.22223002104215,13.316419555507,18.1074731996394,Biobío
8,2020,pad,Percepción: aumentó la delincuencia en el país,85.183204657636,1.31481012795258,82.6062241603405,87.7601851549316,Biobío
8,2020,rvi,Robo con violencia o intimidación,2.70787869346085,0.529308375971534,1.67045333984125,3.74530404708044,Biobío
8,2020,rps,Robo por sorpresa,1.82449024801484,0.368344425589818,1.10254843995271,2.54643205607698,Biobío
8,2020,hur,Hurto,3.49322126766202,0.547531593756069,2.42007906350231,4.56636347182173,Biobío
8,2021,vh_dmcs,Hogar víctima de delito (DMCS),12.8395204075387,0.85152076494796,11.1705703761527,14.5084704389247,Biobío
8,2021,pad,Percepción: aumentó la delincuencia en el país,85.4000586851433,1.52753378935343,82.4061474728425,88.393969897444,Biobío
8,2021,rvi,Robo con violencia o intimidación,2.18143892013874,0.438386457839615,1.322217251463,3.04066058881447,Biobío
8,2021,rps,Robo por sorpresa,1.64639358964184,0.429491616888957,0.804605488877611,2.48818169040607,Biobío
8,2021,hur,Hurto,3.15345679599311,0.554532681986857,2.06659271104847,4.24032088093776,Biobío
8,2022,vh_dmcs,Hogar víctima de delito (DMCS),14.2606093446194,0.986064834059094,12.3279577834421,16.1932609057967,Biobío
8,2022,pad,Percepción: aumentó la delincuencia en el país,92.1540773207918,1.11423127585775,89.9702241496625,94.3379304919211,Biobío
8,2022,rvi,Robo con violencia o intimidación,2.40651137910835,0.553624085723005,1.32142811011735,3.49159464809936,Biobío
8,2022,rps,Robo por sorpresa,1.97311429509147,0.454061017531607,1.08317105394591,2.86305753623703,Biobío
8,2022,hur,Hurto,2.62097214997742,0.270259984939064,2.09127231303452,3.15067198692033,Biobío
8,2023,vh_dmcs,Hogar víctima de delito (DMCS),19.065297944734,0.700269612257153,17.6927947252421,20.4378011642258,Biobío
8,2023,pad,Percepción: aumentó la delincuencia en el país,89.6258780736767,0.522070577680521,88.6026385440349,90.6491176033186,Biobío
8,2023,rvi,Robo con violencia o intimidación,2.16588513374151,0.275212321596849,1.62647889531003,2.70529137217299,Biobío
8,2023,rps,Robo por sorpresa,1.89336860212702,0.264340980055702,1.37526980157982,2.41146740267421,Biobío
8,2023,hur,Hurto,5.31282797064015,0.421537384003297,4.48662987985646,6.13902606142384,Biobío
8,2024,vh_dmcs,Hogar víctima de delito (DMCS),18.2003183580914,0.876724562406396,16.4819697914132,19.9186669247695,Biobío
8,2024,pad,Percepción: aumentó la delincuencia en el país,89.6371242084243,0.977687991744803,87.7208909564872,91.5533574603614,Biobío
8,2024,rvi,Robo con violencia o intimidación,2.39631834332012,0.457822303028609,1.49900311806486,3.29363356857537,Biobío
8,2024,rps,Robo por sorpresa,2.29366130100025,0.430814995670409,1.44927942548647,3.13804317651403,Biobío
8,2024,hur,Hurto,3.40927419814881,0.535712851250616,2.35929630364234,4.45925209265528,Biobío
9,2018,vh_dmcs,Hogar víctima de delito (DMCS),19.8603200310809,1.44183278684608,17.0343796971336,22.6862603650282,La Araucanía
9,2018,pad,Percepción: aumentó la delincuencia en el país,71.3223305948796,1.8421814850114,67.7117212312708,74.9329399584885,La Araucanía
9,2018,rvi,Robo con violencia o intimidación,2.5138822087484,0.68132701483127,1.17850579798493,3.84925861951188,La Araucanía
9,2018,rps,Robo por sorpresa,3.83882155661216,0.923770030498185,2.02826556683825,5.64937754638607,La Araucanía
9,2018,hur,Hurto,8.05730886291652,1.4193284657827,5.27547618774993,10.8391415380831,La Araucanía
9,2019,vh_dmcs,Hogar víctima de delito (DMCS),20.9995888266478,2.15558072124395,16.7747282472407,25.2244494060548,La Araucanía
9,2019,pad,Percepción: aumentó la delincuencia en el país,78.2694084274392,2.47047413456048,73.4273680989629,83.1114487559155,La Araucanía
9,2019,rvi,Robo con violencia o intimidación,1.29137352419989,0.60632228910042,0.103003674539184,2.4797433738606,La Araucanía
9,2019,rps,Robo por sorpresa,2.00205627876933,0.597994769955904,0.830008066712439,3.17410449082621,La Araucanía
